	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
kʷɦ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
kʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kxʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
kxʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kxʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
kʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
kʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	+	-	-	+	-	-	.	-	-
k	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	+	-	-	.	-	-
l	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̃	-	+	+	+	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
l̟	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̤	-	+	+	+	-	+	-	+	-	-	+	.	n	-	-	+	+	-	-	-	-	-	-
l̥	-	-	+	+	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̩	+	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̪	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
lː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
lː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
l̪ː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
lˠ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
lˠ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
lˠʷ	-	+	+	+	-	+	-	+	-	-	-	-	n	+	-	+	+	+	+	+	-	-	-
lʰ	-	+	+	+	-	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
