	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
ỹ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	-	+	+	n	-	-
yː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	+	+	n	+	-
yi	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	.	-	n	+	-
ʏ	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	+	+	n	-	-
z	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
z̤	-	-	+	-	+	+	-	-	-	+	+	.	n	-	-	+	+	-	-	-	-	-	-
z̪	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
z̻	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
z̪ː	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
z͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
zʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
z̪ʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
z̪v	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
zʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
zʷ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
zʼ	-	-	+	-	+	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
zʼ	-	-	+	-	+	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
zˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
zˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
z̪ˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
z̪ˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
z̻ˤ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	+	-	+	+	-	-	+	-	-
z̪ˤː	-	-	+	-	+	+	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	+	-
ʐ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʑ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ̤	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ̥	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒː	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
ʒ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	+	-	-	+	.	+	+	+	-	-
ʒʰ	-	-	+	-	+	+	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
ʒʰ	-	-	+	-	+	+	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
ʒʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʒʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʒ̥ʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʔ	-	-	-	+	-	-	+	n	-	-	+	.	n	-	+	-	-	-	-	-	.	-	-
ʔb	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔb	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔd	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔd	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔj	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ʔj	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ʔk	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ʔl	-	+	+	+	-	+	-	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔl	-	+	+	+	-	+	-	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔm	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔm	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔn	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔn	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔp	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔt	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔw	-	-	-	+	+	+	+	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ʔw	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	+	-	+	-	+	.	-	-
ʔʷ	-	-	-	+	-	-	+	n	-	-	+	+	n	-	+	-	-	-	+	+	.	-	-
ʔˤ	-	-	-	+	-	-	+	n	-	-	+	.	n	.	+	.	-	+	-	-	.	-	-
ʔǀn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ʔǁn	-	-	+	-	-	-	+	+	+	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ʔǂn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ʔǃn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ʔʘn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ʕ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ʕʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
ʕʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
ʕʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
ʕʼʷ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
ʕʼʷ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
ǀ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	+	-	-	+	-	-
ǀkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǀn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	+	+	+	-	-	+	-	-
ǀn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	+	+	+	-	-	+	-	-
ǀqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǀs	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ǀʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ǁ	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁ	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	+	-	+	+	+	-	-	.	-	-
ǁkxʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǁn	-	-	+	-	-	+	-	+	+	-	-	.	n	+	-	+	+	+	-	-	.	-	-
ǁn̥	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁq	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁqʰ	-	-	+	-	-	-	-	+	-	-	+	n	n	+	-	+	+	+	-	-	.	-	-
ǁqʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǁx	-	-	+	-	-	-	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ǁʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ǂ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	+	+	-	-	+	-	-
ǂkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǂn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	-	+	+	-	-	+	-	-
ǂn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	-	+	+	-	-	+	-	-
ǂqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǂx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ǂʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ǃ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃd	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	+	-	-	-	-	-
ǃkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ǃn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	+	+	+	-	-	-	-	-
ǃn	-	-	+	-	-	-	-	-	+	-	-	.	n	+	-	+	+	+	-	-	-	-	-
ǃn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃq	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	+	-	+	+	+	-	-	-	-	-
ǃqʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ǃr	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃs	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʃ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃt	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃx	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃz	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʒ	-	-	+	-	-	-	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
ǃʔ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ʘ	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	+	-	+	+	-	-
ʘkxʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
ʘn	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	+	-	+	-	+	+	-	-
ʘn̥	-	-	+	-	-	-	-	n	+	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘq	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘqʰ	-	-	+	-	-	-	-	n	-	-	+	n	n	+	-	+	-	+	-	+	+	-	-
ʘqʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
ʘx	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
β	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
βm	-	-	+	.	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
θ	-	-	+	-	+	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
θʼ	-	-	+	-	+	-	+	.	-	-	-	+	n	.	.	+	+	.	-	-	.	-	-
θʼ	-	-	+	-	+	-	+	.	-	-	-	+	n	.	.	+	+	.	-	-	.	-	-
χ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
χ̀	-	-	+	-	+	-	-	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
χː	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
χʲ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
χʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
χ̀ʷ	-	-	+	-	+	-	-	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
χˤ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
χˤʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
b	-	-	+	-	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	-	-	+	+	-	-
bʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	-	-	+	-	-	+	+	+	-	-
d	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
dz	-	-	+	-	-	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
dʒ	-	-	+	-	-	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
f	-	-	+	-	+	-	-	n	+	+	-	.	n	-	-	+	-	-	-	+	-	-	-
ɡ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ɡ͡b	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
k͡p	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	+	-	+	-	+	.	-	-
l	-	+	+	+	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ɬ	-	-	+	-	+	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
p	-	-	+	-	-	-	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pʰ	-	-	+	-	-	-	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
pʰ	-	-	+	-	-	-	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʃ	-	-	+	-	+	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
t	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ts	-	-	+	-	-	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
tʃ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
v	-	-	+	-	+	+	-	n	+	+	-	-	n	-	-	+	-	-	-	+	-	-	-
v	-	-	+	-	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
b	-	-	+	-	-	+	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
c	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɡ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ɡ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ɡ͡b	-	-	+	-	-	+	-	n	+	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ɡʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
k	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	+	-	-	.	-	-
kʰ	-	-	+	-	-	-	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ɡ͡b	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ɡ͡b	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
