	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
əː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
əː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ə̃ː	+	-	-	+	-	+	-	-	-	-	-	+	-	+	-
əe	+	-	-	+	-	-	-	+	-	-	-	.	-	+	-
əi	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ə̯i	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
əo	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
əu	+	-	-	+	-	-	-	+	-	-	+	+	.	+	-
əˤ	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ɛ	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
ɛ̃	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-
ɛ̘	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ɛ̞	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
ɛ̥	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɛː	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-
ɛː	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-
ɛ̃ː	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-
ɛi̯	+	-	-	+	-	-	-	-	-	-	+	.	-	+	-
ɛʔ	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
ɛ̃ʔ	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
ɜ	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ɜː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ɤ	+	-	-	+	-	-	-	+	-	-	-	+	-	-	-
ɤː	+	-	-	+	-	-	-	+	-	-	-	+	-	+	-
ɤː	+	-	-	+	-	-	-	+	-	-	-	+	-	+	-
f	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
fː	-	+	-	-	-	-	+	.	-	-	+	+	-	+	-
fː	-	+	-	-	-	-	+	.	-	-	+	+	-	+	-
fʲ	-	+	-	-	-	-	+	.	-	+	+	+	-	-	-
fʲ	-	+	-	-	-	-	+	.	-	+	+	+	-	-	-
fˡ	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
fʃ	-	+	-	-	-	-	+	.	.	-	.	.	-	-	-
fʷ	-	+	-	-	-	-	+	.	-	-	+	+	+	-	-
fʼ	-	+	-	-	+	-	+	.	-	-	+	+	-	-	-
fʼ	-	+	-	-	+	-	+	.	-	-	+	+	-	-	-
fˤ	-	+	-	-	-	-	+	.	-	-	+	+	+	-	-
ɡ	-	+	+	+	-	-	-	.	+	-	-	+	-	-	-
ɡ̂	-	+	+	+	-	-	-	-	+	-	-	+	-	-	-
ɡ̥	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
ɡː	-	+	+	+	-	-	-	.	+	-	-	+	-	+	-
ɡ̂͡b̂	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-
ɡ͡b	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
ɡ͡bʲ	-	+	+	+	-	-	-	.	-	+	-	+	-	-	-
ɡ͡bʷ	-	+	+	+	-	-	-	.	-	-	-	+	+	-	-
ɡ͡ɓ	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
ɡʰ	-	+	+	+	-	-	-	+	+	-	-	+	-	-	-
