	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
ʔǁn	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
ʔǂn	-	+	+	-	+	+	-	.	+	-	-	-	-	-	-
ʔǃn	-	+	+	-	+	+	-	.	-	-	+	-	-	-	-
ʔʘn	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
ʕ	-	+	-	+	-	-	-	.	.	-	.	.	-	-	-
ʕʷ	-	+	-	+	-	-	-	.	.	-	.	.	+	-	-
ʕʼ	-	+	-	+	+	-	-	.	.	-	.	.	-	-	-
ʕʼ	-	+	-	+	+	-	-	.	.	-	.	.	-	-	-
ʕʼʷ	-	+	-	+	+	-	-	.	.	-	.	.	+	-	-
ʕʼʷ	-	+	-	+	+	-	-	.	.	-	.	.	+	-	-
ǀ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǀkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǀn	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǀn̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǀq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǀqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǀs	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǁkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁn	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ǁn̥	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ǁq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǁqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǂ	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
ǂkxʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǂn	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ǂn̥	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ǂq	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂqʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
ǂqʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǂx	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǃ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃd	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǃkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǃn	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǃn	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǃn̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǃq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǃqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǃr	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃs	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
ǃʃ	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
ǃt	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃz	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃʒ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ʘ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
ʘkxʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʘn	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
ʘn̥	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
ʘq	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘqʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
ʘqʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʘx	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
β	-	+	-	+	-	-	-	.	-	-	+	+	-	-	-
βm	-	+	-	+	-	+	-	.	-	-	+	+	-	-	-
θ	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
θʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
θʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
χ	-	+	-	-	-	-	+	.	+	-	-	+	-	-	-
χ̀	-	+	-	-	-	-	+	+	+	-	-	+	-	-	-
χː	-	+	-	-	-	-	+	.	+	-	-	+	-	+	-
χʲ	-	+	-	-	-	-	+	.	+	+	-	+	-	-	-
χʷ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
χ̀ʷ	-	+	-	-	-	-	+	+	+	-	-	+	+	-	-
χˤ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
χˤʷ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
b	-	+	+	+	-	.	-	.	-	-	+	+	-	-	-
bʲ	-	+	+	+	-	.	-	.	-	+	+	+	-	-	-
bʷ	-	+	+	+	-	.	-	.	-	-	+	+	+	-	-
d	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
dz	-	+	+	+	-	.	+	.	-	-	+	-	-	-	-
dʒ	-	+	+	+	-	.	+	.	+	-	-	-	-	-	-
f	-	+	-	-	-	.	+	.	-	-	+	+	-	-	-
ɡ	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
ɡ͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
k͡p	-	+	+	-	-	.	-	.	-	-	-	+	-	-	-
l	+	+	-	+	-	.	-	.	-	-	+	-	-	-	-
ɬ	-	+	-	-	-	.	-	.	-	-	+	-	-	-	-
ɲ	-	+	+	+	-	+	-	.	+	-	-	-	-	-	-
p	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
pʰ	-	+	+	-	-	.	-	+	-	-	+	+	-	-	-
pʰ	-	+	+	-	-	.	-	+	-	-	+	+	-	-	-
pʼ	-	+	+	-	+	.	-	.	-	-	+	+	-	-	-
pʼ	-	+	+	-	+	.	-	.	-	-	+	+	-	-	-
ʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
t	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ts	-	+	+	-	-	.	+	.	-	-	+	-	-	-	-
tʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
v	-	+	-	+	-	.	-	.	-	-	+	+	-	-	-
v	-	+	-	+	-	.	+	.	-	-	+	+	-	-	-
b	-	+	+	+	-	.	-	.	-	-	+	+	-	-	-
c	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
ɡ	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
ɡ	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
ɡ͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
ɡʷ	-	+	+	+	-	.	-	.	+	-	-	+	+	-	-
k	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
kʰ	-	+	+	-	-	.	-	+	+	-	-	+	-	-	-
ɡ͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
ɡ͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
